Date,Sentiment,Value
3/25/2020,Negative,18.18
3/25/2020,Neutral,35.74
3/25/2020,Positive,46.08
3/26/2020,Negative,19.03
3/26/2020,Neutral,36.42
3/26/2020,Positive,44.55
3/27/2020,Negative,19.03
3/27/2020,Neutral,35.44
3/27/2020,Positive,45.52
3/28/2020,Negative,21.31
3/28/2020,Neutral,34.75
3/28/2020,Positive,43.94
3/29/2020,Negative,20.83
3/29/2020,Neutral,34.94
3/29/2020,Positive,44.23
3/30/2020,Negative,20.36
3/30/2020,Neutral,35.32
3/30/2020,Positive,44.32
3/31/2020,Negative,21.73
3/31/2020,Neutral,35.91
3/31/2020,Positive,42.36
4/1/2020,Negative,21.28
4/1/2020,Neutral,34.61
4/1/2020,Positive,44.11
4/2/2020,Negative,19.4
4/2/2020,Neutral,35.9
4/2/2020,Positive,44.71
4/3/2020,Negative,18.51
4/3/2020,Neutral,35.47
4/3/2020,Positive,46.01
4/4/2020,Negative,18.33
4/4/2020,Neutral,36.07
4/4/2020,Positive,45.6
4/5/2020,Negative,14.39
4/5/2020,Neutral,40.72
4/5/2020,Positive,44.89
4/6/2020,Negative,17.62
4/6/2020,Neutral,38.3
4/6/2020,Positive,44.09
4/7/2020,Negative,17.7
4/7/2020,Neutral,35.97
4/7/2020,Positive,46.33
4/8/2020,Negative,16.98
4/8/2020,Neutral,34.11
4/8/2020,Positive,48.91
4/9/2020,Negative,17.12
4/9/2020,Neutral,32.75
4/9/2020,Positive,50.13
4/10/2020,Negative,19.08
4/10/2020,Neutral,34.36
4/10/2020,Positive,46.56
4/11/2020,Negative,18.26
4/11/2020,Neutral,37.21
4/11/2020,Positive,44.53
4/12/2020,Negative,18.14
4/12/2020,Neutral,35.42
4/12/2020,Positive,46.44
4/13/2020,Negative,18.17
4/13/2020,Neutral,36.34
4/13/2020,Positive,45.49
4/14/2020,Negative,17.89
4/14/2020,Neutral,39.88
4/14/2020,Positive,42.23
4/15/2020,Negative,19.6
4/15/2020,Neutral,35.1
4/15/2020,Positive,45.3
4/16/2020,Negative,18.58
4/16/2020,Neutral,34.95
4/16/2020,Positive,46.47
4/17/2020,Negative,18.95
4/17/2020,Neutral,34.28
4/17/2020,Positive,46.77
4/18/2020,Negative,18.81
4/18/2020,Neutral,34.57
4/18/2020,Positive,46.62
4/19/2020,Negative,19.1
4/19/2020,Neutral,34.94
4/19/2020,Positive,45.96
4/20/2020,Negative,20.53
4/20/2020,Neutral,33.97
4/20/2020,Positive,45.49
4/21/2020,Negative,20.16
4/21/2020,Neutral,34.8
4/21/2020,Positive,45.04
4/22/2020,Negative,19.97
4/22/2020,Neutral,32.69
4/22/2020,Positive,47.33
4/23/2020,Negative,17.13
4/23/2020,Neutral,36.31
4/23/2020,Positive,46.56
4/24/2020,Negative,17.95
4/24/2020,Neutral,35.2
4/24/2020,Positive,46.84
4/25/2020,Negative,19.33
4/25/2020,Neutral,34.79
4/25/2020,Positive,45.87
4/26/2020,Negative,19.61
4/26/2020,Neutral,35.06
4/26/2020,Positive,45.33
4/27/2020,Negative,18.56
4/27/2020,Neutral,35.15
4/27/2020,Positive,46.29
4/28/2020,Negative,18.51
4/28/2020,Neutral,35.95
4/28/2020,Positive,45.54
4/29/2020,Negative,20.15
4/29/2020,Neutral,34.08
4/29/2020,Positive,45.76
4/30/2020,Negative,19.84
4/30/2020,Neutral,35.62
4/30/2020,Positive,44.54
5/1/2020,Negative,18.32
5/1/2020,Neutral,37.8
5/1/2020,Positive,43.88
5/2/2020,Negative,18.71
5/2/2020,Neutral,34.81
5/2/2020,Positive,46.48
5/3/2020,Negative,17.18
5/3/2020,Neutral,34.76
5/3/2020,Positive,48.06
5/4/2020,Negative,22.79
5/4/2020,Neutral,32.62
5/4/2020,Positive,44.59
5/5/2020,Negative,19.41
5/5/2020,Neutral,34.62
5/5/2020,Positive,45.97
5/6/2020,Negative,20.01
5/6/2020,Neutral,32.26
5/6/2020,Positive,47.73
5/7/2020,Negative,22.14
5/7/2020,Neutral,33.33
5/7/2020,Positive,44.53
5/8/2020,Negative,22.41
5/8/2020,Neutral,32.74
5/8/2020,Positive,44.85
5/9/2020,Negative,21.66
5/9/2020,Neutral,32.36
5/9/2020,Positive,45.99
5/10/2020,Negative,18.91
5/10/2020,Neutral,31.96
5/10/2020,Positive,49.13
5/11/2020,Negative,20.8
5/11/2020,Neutral,33.7
5/11/2020,Positive,45.5
5/12/2020,Negative,16.45
5/12/2020,Neutral,35.96
5/12/2020,Positive,47.59
5/13/2020,Negative,17.34
5/13/2020,Neutral,34.91
5/13/2020,Positive,47.75
5/14/2020,Negative,20.91
5/14/2020,Neutral,32.08
5/14/2020,Positive,47.01
5/15/2020,Negative,20.67
5/15/2020,Neutral,32.55
5/15/2020,Positive,46.78
5/16/2020,Negative,19.35
5/16/2020,Neutral,33.76
5/16/2020,Positive,46.89
5/17/2020,Negative,19.49
5/17/2020,Neutral,37.8
5/17/2020,Positive,42.71
5/18/2020,Negative,20.44
5/18/2020,Neutral,32.64
5/18/2020,Positive,46.93
5/19/2020,Negative,20.21
5/19/2020,Neutral,34.08
5/19/2020,Positive,45.72
5/20/2020,Negative,20.12
5/20/2020,Neutral,35.1
5/20/2020,Positive,44.79
5/21/2020,Negative,21.16
5/21/2020,Neutral,32.02
5/21/2020,Positive,46.82
5/22/2020,Negative,21.9
5/22/2020,Neutral,32.31
5/22/2020,Positive,45.79
5/23/2020,Negative,20.99
5/23/2020,Neutral,30.94
5/23/2020,Positive,48.06
5/24/2020,Negative,22.17
5/24/2020,Neutral,29.34
5/24/2020,Positive,48.5
5/25/2020,Negative,20.83
5/25/2020,Neutral,32.07
5/25/2020,Positive,47.09
5/26/2020,Negative,23.24
5/26/2020,Neutral,31.23
5/26/2020,Positive,45.53
5/27/2020,Negative,22.79
5/27/2020,Neutral,32.38
5/27/2020,Positive,44.83
5/28/2020,Negative,20.95
5/28/2020,Neutral,33.36
5/28/2020,Positive,45.7
5/29/2020,Negative,21.42
5/29/2020,Neutral,34.01
5/29/2020,Positive,44.57
5/30/2020,Negative,19.89
5/30/2020,Neutral,35.03
5/30/2020,Positive,45.08
5/31/2020,Negative,19.92
5/31/2020,Neutral,34.85
5/31/2020,Positive,45.23
6/1/2020,Negative,21.27
6/1/2020,Neutral,32.89
6/1/2020,Positive,45.84
6/2/2020,Negative,22.1
6/2/2020,Neutral,34.01
6/2/2020,Positive,43.9
6/3/2020,Negative,20.37
6/3/2020,Neutral,31.81
6/3/2020,Positive,47.82
6/4/2020,Negative,22.19
6/4/2020,Neutral,32.27
6/4/2020,Positive,45.54
6/5/2020,Negative,21.86
6/5/2020,Neutral,30.54
6/5/2020,Positive,47.61
6/6/2020,Negative,23.61
6/6/2020,Neutral,31.44
6/6/2020,Positive,44.95
6/7/2020,Negative,22.94
6/7/2020,Neutral,32.82
6/7/2020,Positive,44.24
6/8/2020,Negative,20.76
6/8/2020,Neutral,33.22
6/8/2020,Positive,46.02
6/9/2020,Negative,21.85
6/9/2020,Neutral,32.19
6/9/2020,Positive,45.96
6/10/2020,Negative,23.6
6/10/2020,Neutral,31.51
6/10/2020,Positive,44.89
6/11/2020,Negative,21.86
6/11/2020,Neutral,35.68
6/11/2020,Positive,42.46
6/12/2020,Negative,20.27
6/12/2020,Neutral,37.98
6/12/2020,Positive,41.75
6/13/2020,Negative,19.81
6/13/2020,Neutral,36.14
6/13/2020,Positive,44.05
6/14/2020,Negative,21.1
6/14/2020,Neutral,35.66
6/14/2020,Positive,43.24
